Product_Name,Catagory,Supplier_Name,Warehouse_Location,Status,Product_ID,Supplier_ID,Stock_Quantity,Unit_Price
Bell Pepper,Fruits & Vegetables,Eimbee,20 Pennsylvania Parkway,Discontinued,29-017-6255,43-348-2450,46,$4.60
Vegetable Oil,Oils & Fats,Digitube,03643 Oakridge Lane,Backordered,79-569-8856,04-854-7165,51,$2.00
Parmesan Cheese,Dairy,BlogXS,73 Graedel Street,Discontinued,28-146-2641,82-995-0739,38,$12.00
Carrot,Fruits & Vegetables,Avaveo,44801 Myrtle Center,Discontinued,11-581-9869,22-867-3079,51,$1.50
Garlic,Fruits & Vegetables,Katz,6195 Monterey Center,Discontinued,13-202-4809,24-281-7685,27,$7.00
Lemon,Fruits & Vegetables,Yata,5141 Anniversary Crossing,Backordered,70-145-2550,75-849-4524,91,$2.40
Coconut Sugar,Grains & Pulses,Lazz,38583 2nd Pass,Active,10-626-8536,23-274-3305,17,$5.00
Anchovies,Seafood,Zoonder,86 Porter Junction,Discontinued,42-879-9478,00-900-0119,81,$10.00
Cheese,Dairy,Oozz,05518 Saint Paul Street,Active,82-380-5378,96-353-3049,78,$9.00
Yogurt,Dairy,Jaxnation,14042 Dottie Avenue,Backordered,23-265-8144,31-524-1628,55,$1.70
Cheddar Cheese,Dairy,Gabcube,5 Oxford Pass,Active,62-393-9939,93-877-9384,60,$9.00
Avocado Oil,Oils & Fats,Dabtype,3622 Anhalt Lane,Backordered,90-343-9640,54-919-9424,53,$10.00
Orange,Fruits & Vegetables,Flashdog,3 Bashford Court,Backordered,36-899-5324,02-656-3112,94,$2.90
Digestive Biscuit,Bakery,Devshare,2 Carioca Crossing,Backordered,41-538-3129,91-589-9007,77,$4.00
Cauliflower,Fruits & Vegetables,Cogilith,01 Northfield Road,Active,47-843-8207,55-838-9088,34,$2.50
Pear,Fruits & Vegetables,Roodel,2004 Cody Plaza,Discontinued,94-071-2261,25-706-2146,79,$4.50
Egg (Turkey),Dairy,Bluezoom,94862 Beilfuss Terrace,Backordered,12-998-3882,06-151-9076,76,$2.50
Ricotta Cheese,Dairy,Skimia,10342 Division Place,Active,36-127-4273,05-719-6858,50,$6.20
Eggplant,Fruits & Vegetables,Blogpad,52 Namekagon Junction,Backordered,13-144-2169,11-742-5033,25,$3.00
Whole Wheat Flour,Grains & Pulses,Dabjam,21343 Brentwood Circle,Backordered,86-978-6666,43-979-2253,38,$2.70
Arabica Coffee,Beverages,Feedmix,36 3rd Place,Discontinued,40-681-9981,54-470-2479,45,$20.00
Sweet Potato,Fruits & Vegetables,Trupe,7015 Ramsey Lane,Active,13-962-6263,26-061-5253,49,$2.00
Mango,Fruits & Vegetables,Meevee,48 Vahlen Place,Backordered,10-002-6494,47-509-7282,89,$4.80
Kale,Fruits & Vegetables,Blogpad,85 Farwell Parkway,Backordered,29-741-8132,49-384-4540,47,$4.00
Jasmine Rice,Grains & Pulses,Topicware,07 Pankratz Point,Active,30-806-3823,36-451-3173,53,$4.75
Sourdough Bread,Bakery,Plajo,338 Annamark Court,Discontinued,71-074-6292,42-201-4495,65,$4.00
Green Coffee,Beverages,Skyndu,35 Golf Course Alley,Backordered,95-738-4658,67-404-3362,90,$12.00
